FinalID,StandardisedTraitValue,StandardisedTraitUnit,ConPhylum,ConGenus,ConSpecies,ConTemp,ConTempUnit,Ea.eV,role,stdConst.day
MTD4896,0.00013401,s^-1,Firmicutes,Streptococcus,salivarius,30.0656,Celsius,0.65,bacterial decomposer,736832714475.464
MTD4896,0.0001383,s^-1,Firmicutes,Streptococcus,salivarius,31.0381,Celsius,0.65,bacterial decomposer,702285995891.367
MTD4896,0.00014688,s^-1,Firmicutes,Streptococcus,salivarius,32.0916,Celsius,0.65,bacterial decomposer,684677622497.085
MTD4896,0.00015375,s^-1,Firmicutes,Streptococcus,salivarius,33.064,Celsius,0.65,bacterial decomposer,662610763481.72
MTD4896,0.00019144,s^-1,Firmicutes,Streptococcus,salivarius,34.063,Celsius,0.65,bacterial decomposer,761532344716.518
MTD4896,0.00022228,s^-1,Firmicutes,Streptococcus,salivarius,35.0621,Celsius,0.65,bacterial decomposer,816564372786.659
MTD4896,0.00024884,s^-1,Firmicutes,Streptococcus,salivarius,36.0343,Celsius,0.65,bacterial decomposer,846427385572.539
MTD4896,0.00027968,s^-1,Firmicutes,Streptococcus,salivarius,37.0064,Celsius,0.65,bacterial decomposer,881299087492.556
MTD4896,0.00031908,s^-1,Firmicutes,Streptococcus,salivarius,38.0324,Celsius,0.65,bacterial decomposer,927977991399.377
MTD4896,0.00035163,s^-1,Firmicutes,Streptococcus,salivarius,39.0585,Celsius,0.65,bacterial decomposer,944334196885.133
MTD4896,0.0003722,s^-1,Firmicutes,Streptococcus,salivarius,40.0577,Celsius,0.65,bacterial decomposer,925428239329.102
MTD4896,0.0003979,s^-1,Firmicutes,Streptococcus,salivarius,41.0299,Celsius,0.65,bacterial decomposer,918281359480.295
MTD4896,0.00043559,s^-1,Firmicutes,Streptococcus,salivarius,42.0289,Celsius,0.65,bacterial decomposer,931603268077.113
MTD4896,0.00050068,s^-1,Firmicutes,Streptococcus,salivarius,43.0005,Celsius,0.65,bacterial decomposer,994881618635.122
MTD4896,0.00055636,s^-1,Firmicutes,Streptococcus,salivarius,44.0533,Celsius,0.65,bacterial decomposer,1021354518778.17
MTD4896,0.00059233,s^-1,Firmicutes,Streptococcus,salivarius,45.0524,Celsius,0.65,bacterial decomposer,1009156226577.25
MTD4896,0.00058293,s^-1,Firmicutes,Streptococcus,salivarius,46.0791,Celsius,0.65,bacterial decomposer,920239423851.772
MTD4896,0.00056325,s^-1,Firmicutes,Streptococcus,salivarius,47.0519,Celsius,0.65,bacterial decomposer,827579103394.561
MTD4896,0.00051617,s^-1,Firmicutes,Streptococcus,salivarius,48.0251,Celsius,0.65,bacterial decomposer,706156753857.748
MTD4896,0.00047251,s^-1,Firmicutes,Streptococcus,salivarius,49.0253,Celsius,0.65,bacterial decomposer,600972370046.247
MTD4896,0.00042629,s^-1,Firmicutes,Streptococcus,salivarius,50.0525,Celsius,0.65,bacterial decomposer,503307035006.815
MTD4896,0.00041431,s^-1,Firmicutes,Streptococcus,salivarius,51.0522,Celsius,0.65,bacterial decomposer,455197010897.295
MTD4898,1.9e-05,s^-1,Firmicutes,Lactococcus,lactis,10.0222,Celsius,0.65,bacterial decomposer,607701692562.579
MTD4898,2.16e-05,s^-1,Firmicutes,Lactococcus,lactis,11.0218,Celsius,0.65,bacterial decomposer,629068040918.889
MTD4898,2.33e-05,s^-1,Firmicutes,Lactococcus,lactis,12.0483,Celsius,0.65,bacterial decomposer,616749219224.678
